color,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Color,723.0,178.0,0.0,855.0,1000.0,760505847.0,Action|Adventure|Fantasy|Sci-Fi,886204,4834,0.0,3054.0,English,USA,PG-13,237000000.0,2009.0,936.0,7.9,1.78,33000
Color,302.0,169.0,563.0,1000.0,40000.0,309404152.0,Action|Adventure|Fantasy,471220,48350,0.0,1238.0,English,USA,PG-13,300000000.0,2007.0,5000.0,7.1,2.35,0
Color,602.0,148.0,0.0,161.0,11000.0,200074175.0,Action|Adventure|Thriller,275868,11700,1.0,994.0,English,UK,PG-13,245000000.0,2015.0,393.0,6.8,2.35,85000
Color,813.0,164.0,22000.0,23000.0,27000.0,448130642.0,Action|Thriller,1144337,106759,0.0,2701.0,English,USA,PG-13,250000000.0,2012.0,23000.0,8.5,2.35,164000
,,,131.0,,131.0,,Documentary,8,143,0.0,,,,,,,12.0,7.1,,0
Color,462.0,132.0,475.0,530.0,640.0,73058679.0,Action|Adventure|Sci-Fi,212204,1873,1.0,738.0,English,USA,PG-13,263700000.0,2012.0,632.0,6.6,2.35,24000
Color,392.0,156.0,0.0,4000.0,24000.0,336530303.0,Action|Adventure|Romance,383056,46055,0.0,1902.0,English,USA,PG-13,258000000.0,2007.0,11000.0,6.2,2.35,0
Color,324.0,100.0,15.0,284.0,799.0,200807262.0,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,294810,2036,1.0,387.0,English,USA,PG,260000000.0,2010.0,553.0,7.8,1.85,29000
Color,635.0,141.0,0.0,19000.0,26000.0,458991599.0,Action|Adventure|Sci-Fi,462669,92000,4.0,1117.0,English,USA,PG-13,250000000.0,2015.0,21000.0,7.5,2.35,118000
Color,375.0,153.0,282.0,10000.0,25000.0,301956980.0,Adventure|Family|Fantasy|Mystery,321795,58753,3.0,973.0,English,UK,PG,250000000.0,2009.0,11000.0,7.5,2.35,10000
Color,673.0,183.0,0.0,2000.0,15000.0,330249062.0,Action|Adventure|Sci-Fi,371639,24450,0.0,3018.0,English,USA,PG-13,250000000.0,2016.0,4000.0,6.9,2.35,197000
Color,434.0,169.0,0.0,903.0,18000.0,200069408.0,Action|Adventure|Sci-Fi,240396,29991,0.0,2367.0,English,USA,PG-13,209000000.0,2006.0,10000.0,6.1,2.35,0
